D_dist_mean,D_energy_mean,D_raw_mmd2u,D_sq_mean,N_dist_mean,N_energy_mean,N_raw_mmd2u,N_sq_mean,cdu_dist_shared,cdu_energy,cdu_ks,cdu_old_percomp,cdu_sq_shared,gate_dim,n_real,n_synth_per_density,pooled_gamma,run_suffix,seed,trunc_frac,variant
0.09463189553524433,0.041182555385134705,"[0.00069292, 0.02058563, 0.01301773]",0.011432096876394867,0.17540677705319085,0.12497893434204775,"[0.0547661, 0.04198066, 0.0076225]",0.0347897533240152,1.8535693072729695,3.0347542344873593,1.0855437665782495,1.8364679881895007,3.043164670503231,3,600,500,0.25,_e048f1000,42,0.0,rgb
0.13971725755486195,0.07988394285015431,"[0.01795273, 0.04263354, 0.00619134]",0.0222592028461223,0.09446633354739002,0.04065788966911366,"[0.0235093, 0.00113168, 0.00929896]",0.011313313739864217,0.6761250199195793,0.508961979322671,0.6989451476793249,0.6895084470303724,0.5082533196751505,3,600,500,0.2500000298023235,_e048f1000,123,0.0,rgb
0.321097258177098,0.4287435955089591,"[0.09568736, 0.23283061, 0.0293892]",0.11930239109549756,0.20598258634757352,0.2671943958464368,"[0.20291364, 0.01934273, 0.00080714]",0.07435450236564127,0.6414959365176699,0.6232032353258872,0.7144934976043805,0.6455310086833587,0.6232440245570853,3,600,500,0.25,_e048f1000,456,0.0,rgb
0.4827219802042317,0.9444045970663751,"[0.15145378, 0.5252052, 0.11174639]",0.2628017887198108,0.33034297137783647,0.6115794724261503,"[0.43444793, 0.07207896, 0.00402299]",0.17018329283097935,0.6843338089516326,0.6475820578657846,0.6952465570857397,0.6858991975088714,0.6475728101395164,3,600,500,0.25,_e048f1000,789,0.0,rgb
0.3583183389276252,0.5206300005112116,"[0.06018828, 0.28991739, 0.0847871]",0.1449642571319659,0.21971548459640897,0.21588631910232184,"[0.13792545, 0.01505266, 0.02724943]",0.06007584546155664,0.6131851505395266,0.41466361694551024,0.6226698737221888,0.6164549688690898,0.41441833076733914,3,600,500,0.25,_e048f1000,2024,0.0,rgb
0.45013114024036627,0.8199791397439888,"[0.10951308, 0.45683124, 0.11804234]",0.22812888499261827,0.2375693431872592,0.2782903206534683,"[0.14251164, 0.00144393, 0.08832889]",0.07742815468800661,0.5277780672103671,0.33938707360330556,0.6158044613194115,0.5342968448631973,0.33940530893539417,3,600,500,0.25,_e048f1000,7,0.0,rgb
0.09708257837348806,0.04114264485594945,"[0.01103445, 0.02174126, 0.00150184]",0.011425850241559695,0.05601826412023433,0.013170872910688544,"[0.00557148, 0.00057256, 0.00482805]",0.00365736403510053,0.5770166497301452,0.3201270350217644,0.6273504273504273,0.5994724511463658,0.32009556906298803,3,600,500,0.2500000000000074,_e048f1000,17,0.0,rgb
0.22630111337677875,0.24247845537148513,"[0.08404594, 0.11580756, 0.00237086]",0.0674081202239083,0.12220353790404491,0.12551138961865463,"[0.10350729, 0.00083703, 0.00025452]",0.03486628067080192,0.540004139089598,0.5176187279251964,0.692350642099386,0.5464666600680925,0.5172415512402252,3,600,500,0.2500000000056325,_e048f1000,71,0.0,rgb
0.2565175819981999,0.2758226466887978,"[0.06450026, 0.14876352, 0.01687011]",0.07671129764311828,0.15731246718286368,0.15381171403032257,"[0.11907097, 0.00785189, 0.00146382]",0.042795559220622024,0.613261929094465,0.5576471543464797,0.6605594956658787,0.6172410638165846,0.5578781813823376,3,600,500,0.25,_e048f1000,137,0.0,rgb
0.3519056352788799,0.5174591752552761,"[0.03279507, 0.27967297, 0.11956495]",0.14401099689331534,0.17568638366803035,0.1919896354900074,"[0.02560695, -0.00019067, 0.13471648]",0.0534411433795432,0.499242882339186,0.37102373418210993,0.6069743051914,0.5199659843369543,0.3710907120456425,3,600,500,0.25000000125949784,_e048f1000,271,0.16666666666666666,rgb
