variant,mmd_n_seeds,mmd_mean,mmd_std,ks_n_seeds,ks_mean,ks_std,l2_legacy_n_seeds,l2_legacy_mean,l2_legacy_std,mmd_real_synth_n_seeds,mmd_real_synth_mean,mmd_real_synth_std,mmd_synth_synth_n_seeds,mmd_synth_synth_mean,mmd_synth_synth_std,ks_real_synth_n_seeds,ks_real_synth_mean,ks_real_synth_std,ks_synth_synth_n_seeds,ks_synth_synth_mean,ks_synth_synth_std
rgb,5,2.501378398038797,0.7731587664244705,5,2.2171951770726626,0.5380004507421813,5,2.0425097957984164,0.4725974910702634,5,0.4613077893218933,0.049842838068623364,5,0.19709415483592857,0.04522401487843136,5,0.3801333333333333,0.04423698246132925,5,0.17759999999999998,0.029469515531800192
raw_dark_channel,5,1.5308079555631902,0.5202532829132622,5,1.3480602544044973,0.40390497318702656,5,1.4808205278075708,0.1461605592780107,5,0.3552864332081098,0.04394313821299866,5,0.2641874069331369,0.09693662413343297,5,0.2901333333333333,0.0493694762498569,5,0.23835555555555557,0.08375880716544247
raw_transmission,5,1.295948397893166,0.5438187031750733,5,1.4185582651008157,0.6458029167218585,5,1.4518439228405806,0.5630598449094197,5,0.5031211799917182,0.07649993074490291,5,0.4206247477607242,0.08251873631580538,5,0.44733333333333325,0.07901029781296755,5,0.3452,0.07040771562657808
tsp_grad_mag,5,1.762876035712069,0.521012246316913,5,1.7325592485493366,0.4272168336811997,5,1.2202899200022839,0.02366089599055922,5,0.33480386780214716,0.041293377488142824,5,0.20224208863619145,0.04270018249983641,5,0.2746222222222222,0.02928224507347772,5,0.1654222222222222,0.028555201035412772
tsp_rank,5,4.622379450098135,2.444163429595881,5,3.607890623534613,1.4855213933100004,5,1.4411505062483734,0.031780044965621077,5,0.5171336081250795,0.024983396000676533,5,0.13506884450009923,0.048597735813602674,5,0.40937777777777773,0.043447803223388294,5,0.1254222222222222,0.03368630890150193
