variant,signal,di_mmd,di_ks,gate_mmd_ratio_mean,gate_mmd_ratio_std,gate_mmd_ratio_n_seeds,gate_mmd_real_synth_mean,gate_mmd_synth_synth_mean,gate_ks_ratio_mean,gate_ks_ratio_std,gate_ks_ratio_n_seeds,gate_ks_real_synth_mean,gate_ks_synth_synth_mean,gate_l2_legacy_ratio_mean,gate_l2_legacy_ratio_std,beta_0.005,beta_0.01,beta_0.02,rtts,foggy_driving,real_avg_mean
rgb,RGB condition,2.38,,2.501378398038797,0.7731587664244705,5,0.4613077893218933,0.19709415483592857,2.2171951770726626,0.5380004507421813,5,0.3801333333333333,0.17759999999999998,2.0425097957984164,0.4725974910702634,0.4541±0.0038 (5),0.4502±0.0040 (5),0.4365±0.0082 (5),0.3363±0.0114 (5),0.1860±0.0067 (5),0.26118348267344366
raw_dark_channel,raw dark channel,1.86,1.18,1.5308079555631902,0.5202532829132622,5,0.3552864332081098,0.2641874069331369,1.3480602544044973,0.40390497318702656,5,0.2901333333333333,0.23835555555555557,1.4808205278075708,0.1461605592780107,0.4496±0.0118 (5),0.4455±0.0100 (5),0.4307±0.0114 (5),0.3343±0.0108 (5),0.2067±0.0136 (5),0.2705091382814452
raw_transmission,raw transmission,1.87,1.22,1.295948397893166,0.5438187031750733,5,0.5031211799917182,0.4206247477607242,1.4185582651008157,0.6458029167218585,5,0.44733333333333325,0.3452,1.4518439228405806,0.5630598449094197,0.4484±0.0132 (5),0.4442±0.0133 (5),0.4317±0.0147 (5),0.3326±0.0119 (5),0.1979±0.0090 (5),0.2652642662939349
tsp_grad_mag,TSP transmission gradient,1.07,0.89,1.762876035712069,0.521012246316913,5,0.33480386780214716,0.20224208863619145,1.7325592485493366,0.4272168336811997,5,0.2746222222222222,0.1654222222222222,1.2202899200022839,0.02366089599055922,0.4595±0.0051 (5),0.4526±0.0058 (5),0.4384±0.0077 (5),0.3391±0.0111 (5),0.1934±0.0104 (5),0.26623724390171366
tsp_rank,TSP rank,1.16,1.42,4.622379450098135,2.444163429595881,5,0.5171336081250795,0.13506884450009923,3.607890623534613,1.4855213933100004,5,0.40937777777777773,0.1254222222222222,1.4411505062483734,0.031780044965621077,0.4518±0.0137 (5),0.4451±0.0146 (5),0.4282±0.0171 (5),0.3348±0.0066 (5),0.1999±0.0133 (5),0.26735352524432154
