gate_input,ks_ratio_real_synth_over_synth_synth,ks_real_synth_by_beta,ks_real_synth_mean,ks_synth_synth_by_beta_pair,ks_synth_synth_mean,l2_ratio_real_synth_over_synth_synth,l2_real_synth_mean,l2_real_synth_std,l2_synth_synth_mean,l2_synth_synth_std,mmd_ratio_real_synth_over_synth_synth,mmd_real_synth_by_beta,mmd_real_synth_mean,mmd_synth_synth_by_beta_pair,mmd_synth_synth_mean,n_real_synth_pairs,n_synth_synth_pairs,seed,variant
raw_transmission,1.200525969756739,"{""beta_0.005"": 0.49466666666666664, ""beta_0.01"": 0.4120000000000001, ""beta_0.02"": 0.3106666666666667}",0.4057777777777778,"{""beta_0.005_vs_beta_0.01"": 0.2373333333333333, ""beta_0.005_vs_beta_0.02"": 0.4653333333333334, ""beta_0.01_vs_beta_0.02"": 0.31133333333333335}",0.338,1.2726246885803298,0.06578453630208969,0.036649562418460846,0.051692016422748566,0.032617755234241486,1.030331872649681,"{""beta_0.005"": 0.6045673273782476, ""beta_0.01"": 0.45349006982626455, ""beta_0.02"": 0.3487818984216561}",0.46894643187538937,"{""beta_0.005_vs_beta_0.01"": 0.31053060054585774, ""beta_0.005_vs_beta_0.02"": 0.649014373226626, ""beta_0.01_vs_beta_0.02"": 0.40587847178999464}",0.4551411485208261,423,423,42,raw_transmission
raw_transmission,1.1854974704890386,"{""beta_0.005"": 0.6133333333333333, ""beta_0.01"": 0.5, ""beta_0.02"": 0.2926666666666667}",0.4686666666666666,"{""beta_0.005_vs_beta_0.01"": 0.25133333333333335, ""beta_0.005_vs_beta_0.02"": 0.5566666666666666, ""beta_0.01_vs_beta_0.02"": 0.37799999999999995}",0.3953333333333333,1.0945969930381418,0.06409990042448044,0.04094799607992172,0.05856027454137802,0.037754129618406296,1.0657311139512704,"{""beta_0.005"": 0.6992090465635812, ""beta_0.01"": 0.541376063136518, ""beta_0.02"": 0.31400601956007024}",0.5181970430867231,"{""beta_0.005_vs_beta_0.01"": 0.32526003440888, ""beta_0.005_vs_beta_0.02"": 0.6914313018301274, ""beta_0.01_vs_beta_0.02"": 0.4420172525497887}",0.486236196262932,423,423,123,raw_transmission
raw_transmission,1.1288913162206444,"{""beta_0.005"": 0.6406666666666667, ""beta_0.01"": 0.48533333333333334, ""beta_0.02"": 0.252}",0.45933333333333337,"{""beta_0.005_vs_beta_0.01"": 0.30200000000000005, ""beta_0.005_vs_beta_0.02"": 0.5633333333333334, ""beta_0.01_vs_beta_0.02"": 0.35533333333333333}",0.4068888888888889,1.2968754771799644,0.052679356187582016,0.03300590068101883,0.04062021151185036,0.028381381183862686,1.1135431632490564,"{""beta_0.005"": 0.7332822404941552, ""beta_0.01"": 0.5417857532233277, ""beta_0.02"": 0.30523116080271884}",0.5267663848400672,"{""beta_0.005_vs_beta_0.01"": 0.31196039204855364, ""beta_0.005_vs_beta_0.02"": 0.6783299150856947, ""beta_0.01_vs_beta_0.02"": 0.42887260156635476}",0.47305430290020106,423,423,456,raw_transmission
raw_transmission,0.8875,"{""beta_0.005"": 0.5086666666666667, ""beta_0.01"": 0.33466666666666667, ""beta_0.02"": 0.15066666666666664}",0.3313333333333333,"{""beta_0.005_vs_beta_0.01"": 0.272, ""beta_0.005_vs_beta_0.02"": 0.5346666666666667, ""beta_0.01_vs_beta_0.02"": 0.3133333333333333}",0.37333333333333335,1.0352027447518162,0.05446980893611908,0.03537239879369736,0.052617527544498444,0.032503098249435425,0.896195128525765,"{""beta_0.005"": 0.585631242481467, ""beta_0.01"": 0.380350714126115, ""beta_0.02"": 0.1860844683574925}",0.38402214165502485,"{""beta_0.005_vs_beta_0.01"": 0.28237070266664543, ""beta_0.005_vs_beta_0.02"": 0.6223749813921765, ""beta_0.01_vs_beta_0.02"": 0.38076278200505426}",0.4285028220212921,423,423,789,raw_transmission
raw_transmission,2.6903765690376567,"{""beta_0.005"": 0.5126666666666667, ""beta_0.01"": 0.5726666666666667, ""beta_0.02"": 0.6293333333333334}",0.5715555555555555,"{""beta_0.005_vs_beta_0.01"": 0.11933333333333335, ""beta_0.005_vs_beta_0.02"": 0.304, ""beta_0.01_vs_beta_0.02"": 0.214}",0.21244444444444444,2.5599197106526503,0.06613445281982422,0.03815450519323349,0.02583458088338375,0.017266375944018364,2.3739407110900586,"{""beta_0.005"": 0.5534401941387247, ""beta_0.01"": 0.6129421139956572, ""beta_0.02"": 0.6866393873697777}",0.6176738985013865,"{""beta_0.005_vs_beta_0.01"": 0.14715094942252627, ""beta_0.005_vs_beta_0.02"": 0.3455455774306589, ""beta_0.01_vs_beta_0.02"": 0.28787128044192417}",0.26018926909836976,423,423,2024,raw_transmission
tsp_grad_mag,1.0616509926854756,"{""beta_0.005"": 0.2346666666666667, ""beta_0.01"": 0.19999999999999998, ""beta_0.02"": 0.2426666666666667}",0.22577777777777777,"{""beta_0.005_vs_beta_0.01"": 0.1526666666666667, ""beta_0.005_vs_beta_0.02"": 0.294, ""beta_0.01_vs_beta_0.02"": 0.19133333333333327}",0.21266666666666664,1.2097927839777822,0.07612820714712143,0.04457813501358032,0.06292665004730225,0.036536961793899536,0.9679216633638347,"{""beta_0.005"": 0.2832496056999223, ""beta_0.01"": 0.2378127100618373, ""beta_0.02"": 0.28027569038366346}",0.267112668715141,"{""beta_0.005_vs_beta_0.01"": 0.18579054081411872, ""beta_0.005_vs_beta_0.02"": 0.4060778461193795, ""beta_0.01_vs_beta_0.02"": 0.23602713031375436}",0.27596517241575086,423,423,42,tsp_grad_mag
tsp_grad_mag,2.164128595600676,"{""beta_0.005"": 0.332, ""beta_0.01"": 0.2926666666666667, ""beta_0.02"": 0.22799999999999998}",0.2842222222222222,"{""beta_0.005_vs_beta_0.01"": 0.07600000000000003, ""beta_0.005_vs_beta_0.02"": 0.18533333333333335, ""beta_0.01_vs_beta_0.02"": 0.1326666666666667}",0.13133333333333336,1.202048662228582,0.0781845673918724,0.042014896869659424,0.06504276394844055,0.03600113466382027,2.3939671971183722,"{""beta_0.005"": 0.42190917226516633, ""beta_0.01"": 0.37859464617343297, ""beta_0.02"": 0.28784904213025897}",0.3627842868562861,"{""beta_0.005_vs_beta_0.01"": 0.07675094268860572, ""beta_0.005_vs_beta_0.02"": 0.2254669910821828, ""beta_0.01_vs_beta_0.02"": 0.15240519635351432}",0.15154104337476762,423,423,123,tsp_grad_mag
tsp_grad_mag,1.4888337468982629,"{""beta_0.005"": 0.32866666666666666, ""beta_0.01"": 0.26266666666666666, ""beta_0.02"": 0.2086666666666667}",0.26666666666666666,"{""beta_0.005_vs_beta_0.01"": 0.11066666666666669, ""beta_0.005_vs_beta_0.02"": 0.2606666666666667, ""beta_0.01_vs_beta_0.02"": 0.16599999999999998}",0.17911111111111114,1.2589818666788848,0.07574903964996338,0.04295391961932182,0.06016690284013748,0.0359298437833786,1.5200697853130964,"{""beta_0.005"": 0.39867548493454213, ""beta_0.01"": 0.3337139447034026, ""beta_0.02"": 0.2466917578363255}",0.32636039582475673,"{""beta_0.005_vs_beta_0.01"": 0.12621845915918833, ""beta_0.005_vs_beta_0.02"": 0.3179541939929766, ""beta_0.01_vs_beta_0.02"": 0.19993013537382634}",0.21470092950866373,423,423,456,tsp_grad_mag
tsp_grad_mag,2.197836166924265,"{""beta_0.005"": 0.3173333333333333, ""beta_0.01"": 0.3253333333333333, ""beta_0.02"": 0.3053333333333333}",0.316,"{""beta_0.005_vs_beta_0.01"": 0.11533333333333336, ""beta_0.005_vs_beta_0.02"": 0.19066666666666668, ""beta_0.01_vs_beta_0.02"": 0.12533333333333335}",0.1437777777777778,1.1951928391367062,0.0693601593375206,0.040059637278318405,0.05803260952234268,0.032705143094062805,2.270673732368359,"{""beta_0.005"": 0.402524893666627, ""beta_0.01"": 0.40013805458812, ""beta_0.02"": 0.36717349223794143}",0.3899454801642295,"{""beta_0.005_vs_beta_0.01"": 0.1078561658684434, ""beta_0.005_vs_beta_0.02"": 0.2506344564945598, ""beta_0.01_vs_beta_0.02"": 0.15670291857452512}",0.17173118031250945,423,423,789,tsp_grad_mag
tsp_grad_mag,1.750346740638003,"{""beta_0.005"": 0.32466666666666666, ""beta_0.01"": 0.2913333333333334, ""beta_0.02"": 0.2253333333333333}",0.28044444444444444,"{""beta_0.005_vs_beta_0.01"": 0.11533333333333333, ""beta_0.005_vs_beta_0.02"": 0.2213333333333333, ""beta_0.01_vs_beta_0.02"": 0.144}",0.16022222222222218,1.2354334479894638,0.07083985954523087,0.041790567338466644,0.05734008550643921,0.03354031220078468,1.6617478003966821,"{""beta_0.005"": 0.3808342635533644, ""beta_0.01"": 0.33780590777586633, ""beta_0.02"": 0.2648093510217369}",0.32781650745032254,"{""beta_0.005_vs_beta_0.01"": 0.11134384087796458, ""beta_0.005_vs_beta_0.02"": 0.2910033270605218, ""beta_0.01_vs_beta_0.02"": 0.18946918476931007}",0.19727211756926546,423,423,2024,tsp_grad_mag
tsp_rank,2.41358024691358,"{""beta_0.005"": 0.5019999999999999, ""beta_0.01"": 0.422, ""beta_0.02"": 0.3793333333333333}",0.4344444444444444,"{""beta_0.005_vs_beta_0.01"": 0.15799999999999997, ""beta_0.005_vs_beta_0.02"": 0.258, ""beta_0.01_vs_beta_0.02"": 0.124}",0.18000000000000002,1.3970948229038047,0.03371451050043106,0.019194072112441063,0.02413186989724636,0.015983926132321358,2.38052830141694,"{""beta_0.005"": 0.5433894923565559, ""beta_0.01"": 0.48634539805872146, ""beta_0.02"": 0.48499335884930334}",0.504909416421527,"{""beta_0.005_vs_beta_0.01"": 0.1849556426370466, ""beta_0.005_vs_beta_0.02"": 0.3149675176470067, ""beta_0.01_vs_beta_0.02"": 0.13637603782377147}",0.21209973270260826,423,423,42,tsp_rank
tsp_rank,2.985739750445633,"{""beta_0.005"": 0.42, ""beta_0.01"": 0.35733333333333334, ""beta_0.02"": 0.3393333333333333}",0.37222222222222223,"{""beta_0.005_vs_beta_0.01"": 0.13666666666666666, ""beta_0.005_vs_beta_0.02"": 0.17200000000000001, ""beta_0.01_vs_beta_0.02"": 0.06533333333333334}",0.12466666666666666,1.446434376294763,0.0526452399790287,0.028784269466996193,0.036396563053131104,0.019447779282927513,3.4352049784952454,"{""beta_0.005"": 0.5166853502595856, ""beta_0.01"": 0.46913976453447814, ""beta_0.02"": 0.46433780487271664}",0.4833876398889268,"{""beta_0.005_vs_beta_0.01"": 0.14885857722448745, ""beta_0.005_vs_beta_0.02"": 0.2056718152148035, ""beta_0.01_vs_beta_0.02"": 0.06761702780053669}",0.14071580674660922,423,423,123,tsp_rank
tsp_rank,6.531722054380665,"{""beta_0.005"": 0.48533333333333334, ""beta_0.01"": 0.49266666666666664, ""beta_0.02"": 0.4633333333333334}",0.48044444444444445,"{""beta_0.005_vs_beta_0.01"": 0.07333333333333335, ""beta_0.005_vs_beta_0.02"": 0.07400000000000002, ""beta_0.01_vs_beta_0.02"": 0.0733333333333333}",0.07355555555555555,1.4126032297249147,0.05256190150976181,0.030004968866705894,0.037209246307611465,0.025727529078722,9.371776442334296,"{""beta_0.005"": 0.5645549308436653, ""beta_0.01"": 0.5542133554361736, ""beta_0.02"": 0.5445675374526686}",0.5544452745775025,"{""beta_0.005_vs_beta_0.01"": 0.058983412714245446, ""beta_0.005_vs_beta_0.02"": 0.061923590849928246, ""beta_0.01_vs_beta_0.02"": 0.056576511324088884}",0.05916117162942086,423,423,456,tsp_rank
tsp_rank,3.225225225225225,"{""beta_0.005"": 0.434, ""beta_0.01"": 0.3866666666666667, ""beta_0.02"": 0.3726666666666667}",0.3977777777777778,"{""beta_0.005_vs_beta_0.01"": 0.09866666666666667, ""beta_0.005_vs_beta_0.02"": 0.16333333333333333, ""beta_0.01_vs_beta_0.02"": 0.10799999999999998}",0.12333333333333334,1.4745300079956958,0.04107923433184624,0.02261100336909294,0.02785920538008213,0.015960607677698135,3.9077305462429455,"{""beta_0.005"": 0.5630641255864026, ""beta_0.01"": 0.5340135605675338, ""beta_0.02"": 0.5098952383685643}",0.5356576415075002,"{""beta_0.005_vs_beta_0.01"": 0.10896196169738288, ""beta_0.005_vs_beta_0.02"": 0.1934278834355613, ""beta_0.01_vs_beta_0.02"": 0.1088393595182084}",0.1370764015503842,423,423,789,tsp_rank
tsp_rank,2.8831858407079656,"{""beta_0.005"": 0.41533333333333333, ""beta_0.01"": 0.36200000000000004, ""beta_0.02"": 0.30866666666666664}",0.36200000000000004,"{""beta_0.005_vs_beta_0.01"": 0.12133333333333331, ""beta_0.005_vs_beta_0.02"": 0.15733333333333333, ""beta_0.01_vs_beta_0.02"": 0.09799999999999998}",0.12555555555555553,1.4750900943226877,0.03198939561843872,0.01937718503177166,0.021686401218175888,0.014986181631684303,4.016656982001247,"{""beta_0.005"": 0.5421356488703638, ""beta_0.01"": 0.5063081807532575, ""beta_0.02"": 0.4733603750662019}",0.507268068229941,"{""beta_0.005_vs_beta_0.01"": 0.12326575493429788, ""beta_0.005_vs_beta_0.02"": 0.17034746166145684, ""beta_0.01_vs_beta_0.02"": 0.0852601130186661}",0.1262911098714736,423,423,2024,tsp_rank
