variant,signal,dataset,seed,map50
tsp_grad_mag,TSP transmission gradient,beta_0.02,456,0.431171836982281
tsp_grad_mag,TSP transmission gradient,beta_0.02,789,0.43817686669780737
tsp_grad_mag,TSP transmission gradient,beta_0.02,2024,0.44505680019405947
tsp_grad_mag,TSP transmission gradient,rtts,42,0.33834503399525145
tsp_grad_mag,TSP transmission gradient,rtts,123,0.353465386206621
tsp_grad_mag,TSP transmission gradient,rtts,456,0.34937454561612896
tsp_grad_mag,TSP transmission gradient,rtts,789,0.33017696124783497
tsp_grad_mag,TSP transmission gradient,rtts,2024,0.3239793446635388
tsp_grad_mag,TSP transmission gradient,foggy_driving,42,0.21297355307748486
tsp_grad_mag,TSP transmission gradient,foggy_driving,123,0.19421892322518827
tsp_grad_mag,TSP transmission gradient,foggy_driving,456,0.1897482371754078
tsp_grad_mag,TSP transmission gradient,foggy_driving,789,0.1857513199749132
tsp_grad_mag,TSP transmission gradient,foggy_driving,2024,0.1843391338347672
tsp_rank,TSP rank,beta_0.005,42,0.46730553447337264
tsp_rank,TSP rank,beta_0.005,123,0.4630737757550744
tsp_rank,TSP rank,beta_0.005,456,0.4344289224952841
tsp_rank,TSP rank,beta_0.005,789,0.43649924511354565
tsp_rank,TSP rank,beta_0.005,2024,0.4575616242077382
tsp_rank,TSP rank,beta_0.01,42,0.4641363340496129
tsp_rank,TSP rank,beta_0.01,123,0.4567626250984059
tsp_rank,TSP rank,beta_0.01,456,0.4259216031406877
tsp_rank,TSP rank,beta_0.01,789,0.4313024803453114
tsp_rank,TSP rank,beta_0.01,2024,0.44730993839873634
tsp_rank,TSP rank,beta_0.02,42,0.4523077815920553
tsp_rank,TSP rank,beta_0.02,123,0.43859640895040924
tsp_rank,TSP rank,beta_0.02,456,0.40378311695832925
tsp_rank,TSP rank,beta_0.02,789,0.4150656043610766
tsp_rank,TSP rank,beta_0.02,2024,0.431477513288712
tsp_rank,TSP rank,rtts,42,0.3290785778918098
tsp_rank,TSP rank,rtts,123,0.33701489095500053
tsp_rank,TSP rank,rtts,456,0.34628634013217874
tsp_rank,TSP rank,rtts,789,0.32787880486138943
tsp_rank,TSP rank,rtts,2024,0.33375783682105703
tsp_rank,TSP rank,foggy_driving,42,0.18121461459467075
tsp_rank,TSP rank,foggy_driving,123,0.21613651809619114
tsp_rank,TSP rank,foggy_driving,456,0.19627378525347017
tsp_rank,TSP rank,foggy_driving,789,0.2138566593140555
tsp_rank,TSP rank,foggy_driving,2024,0.19203722452339206
