di_ks,di_mmd,dose,family,gate_input,ks_denominator_synth_cross,ks_numerator_real_synth,mmd_cross_by_beta_pair,mmd_denominator_synth_cross,mmd_numerator_real_synth,mmd_real_by_beta,seed,variant
2.1960329726944865,2.299482569074325,0,jpeg,tsp_grad_mag,0.1437777777777778,0.3157407407407407,"{""beta_0.005_vs_beta_0.01"": 0.10785866092279292, ""beta_0.005_vs_beta_0.02"": 0.25063680328719157, ""beta_0.01_vs_beta_0.02"": 0.1567028697419088}",0.17173277798396444,0.3948965295128372,"{""beta_0.005"": 0.4096409252385468, ""beta_0.01"": 0.4048999230800287, ""beta_0.02"": 0.3701487402199361}",789,tsp_grad_mag
2.1248216833095572,2.3180301654982145,1,jpeg,tsp_grad_mag,0.1557777777777778,0.33099999999999996,"{""beta_0.005_vs_beta_0.01"": 0.11233764257499616, ""beta_0.005_vs_beta_0.02"": 0.2575821830275582, ""beta_0.01_vs_beta_0.02"": 0.1628522397441347}",0.17759068844889636,0.4116605729361371,"{""beta_0.005"": 0.4215298425062031, ""beta_0.01"": 0.42362161184162733, ""beta_0.02"": 0.3898302644605808}",789,tsp_grad_mag
2.291318477251625,2.4315372771426635,2,jpeg,tsp_grad_mag,0.15955555555555556,0.36559259259259264,"{""beta_0.005_vs_beta_0.01"": 0.12413600292350313, ""beta_0.005_vs_beta_0.02"": 0.2722156541191393, ""beta_0.01_vs_beta_0.02"": 0.16617663777749914}",0.18750943160671385,0.4559361727675575,"{""beta_0.005"": 0.43885467736670153, ""beta_0.01"": 0.46442596902330846, ""beta_0.02"": 0.4645278719126625}",789,tsp_grad_mag
2.2960954446854664,2.499792124327068,3,jpeg,tsp_grad_mag,0.2048888888888889,0.47044444444444444,"{""beta_0.005_vs_beta_0.01"": 0.14931615430582834, ""beta_0.005_vs_beta_0.02"": 0.3356007335586283, ""beta_0.01_vs_beta_0.02"": 0.20584467535729353}",0.23025385440725007,0.5755867718431951,"{""beta_0.005"": 0.5243909714404575, ""beta_0.01"": 0.5777422570165975, ""beta_0.02"": 0.62462708707253}",789,tsp_grad_mag
3.1661010558069385,3.2812914954335852,4,jpeg,tsp_grad_mag,0.19644444444444445,0.621962962962963,"{""beta_0.005_vs_beta_0.01"": 0.14147803535380854, ""beta_0.005_vs_beta_0.02"": 0.32861129699648994, ""beta_0.01_vs_beta_0.02"": 0.20874935711006629}",0.2262795631534549,0.7424892061658585,"{""beta_0.005"": 0.6992018830519022, ""beta_0.01"": 0.7454728116836156, ""beta_0.02"": 0.7827929237620574}",789,tsp_grad_mag
1.8003231763619578,1.7593387472479867,0,colorbias,tsp_grad_mag,0.16044444444444442,0.28885185185185186,"{""beta_0.005_vs_beta_0.01"": 0.11134194009777189, ""beta_0.005_vs_beta_0.02"": 0.29099950656670404, ""beta_0.01_vs_beta_0.02"": 0.18946681087477088}",0.19726941917974894,0.34706373281003744,"{""beta_0.005"": 0.40098876797137045, ""beta_0.01"": 0.35782253143476334, ""beta_0.02"": 0.2823798990239784}",2024,tsp_grad_mag
1.8570412517780943,1.7723283477534426,1,colorbias,tsp_grad_mag,0.1562222222222222,0.29011111111111115,"{""beta_0.005_vs_beta_0.01"": 0.1155862936130185, ""beta_0.005_vs_beta_0.02"": 0.2911231622725346, ""beta_0.01_vs_beta_0.02"": 0.1860634839385851}",0.1975909799413794,0.35019609501048854,"{""beta_0.005"": 0.40264409932096185, ""beta_0.01"": 0.3601012732052813, ""beta_0.02"": 0.2878429125052225}",2024,tsp_grad_mag
1.9393498301795247,1.845922328103021,2,colorbias,tsp_grad_mag,0.15266666666666664,0.29607407407407405,"{""beta_0.005_vs_beta_0.01"": 0.11812106330890076, ""beta_0.005_vs_beta_0.02"": 0.2880830306829892, ""beta_0.01_vs_beta_0.02"": 0.1809635246060378}",0.1957225395326426,0.3612886058363312,"{""beta_0.005"": 0.4073204279934101, ""beta_0.01"": 0.3703876238171428, ""beta_0.02"": 0.3061577656984407}",2024,tsp_grad_mag
2.0028612303290414,1.9518764225204233,3,colorbias,tsp_grad_mag,0.15533333333333335,0.3111111111111111,"{""beta_0.005_vs_beta_0.01"": 0.115984992129233, ""beta_0.005_vs_beta_0.02"": 0.28420748773208676, ""beta_0.01_vs_beta_0.02"": 0.17903241264745523}",0.1930749641695917,0.3768584703416015,"{""beta_0.005"": 0.4130717658690383, ""beta_0.01"": 0.384979561158096, ""beta_0.02"": 0.3325240839976702}",2024,tsp_grad_mag
2.122350674373795,2.105262204786068,4,colorbias,tsp_grad_mag,0.15377777777777782,0.32637037037037037,"{""beta_0.005_vs_beta_0.01"": 0.11371813120483978, ""beta_0.005_vs_beta_0.02"": 0.2796804650706526, ""beta_0.01_vs_beta_0.02"": 0.17322875695541096}",0.1888757844103011,0.3976330503183285,"{""beta_0.005"": 0.42584756220187436, ""beta_0.01"": 0.4020739164630911, ""beta_0.02"": 0.36497767229002}",2024,tsp_grad_mag
1.8003231763619578,1.7593387472479867,0,noise,tsp_grad_mag,0.16044444444444442,0.28885185185185186,"{""beta_0.005_vs_beta_0.01"": 0.11134194009777189, ""beta_0.005_vs_beta_0.02"": 0.29099950656670404, ""beta_0.01_vs_beta_0.02"": 0.18946681087477088}",0.19726941917974894,0.34706373281003744,"{""beta_0.005"": 0.40098876797137045, ""beta_0.01"": 0.35782253143476334, ""beta_0.02"": 0.2823798990239784}",2024,tsp_grad_mag
1.9614463601532568,1.9413344077964267,1,noise,tsp_grad_mag,0.15466666666666667,0.3033703703703704,"{""beta_0.005_vs_beta_0.01"": 0.1086693302252559, ""beta_0.005_vs_beta_0.02"": 0.2741783653621441, ""beta_0.01_vs_beta_0.02"": 0.17616547545385505}",0.18633772368041837,0.3617438344512592,"{""beta_0.005"": 0.4079439633798226, ""beta_0.01"": 0.37242816648356136, ""beta_0.02"": 0.3048593734903937}",2024,tsp_grad_mag
2.0401234567901234,2.1192216373979784,2,noise,tsp_grad_mag,0.156,0.31825925925925924,"{""beta_0.005_vs_beta_0.01"": 0.10159046662534786, ""beta_0.005_vs_beta_0.02"": 0.2645638623779293, ""beta_0.01_vs_beta_0.02"": 0.17561188054330057}",0.1805887365155259,0.3827075578940649,"{""beta_0.005"": 0.41268977542620083, ""beta_0.01"": 0.3939334856675384, ""beta_0.02"": 0.34149941258845556}",2024,tsp_grad_mag
1.9367749419953595,2.201834873204663,3,noise,tsp_grad_mag,0.19155555555555556,0.371,"{""beta_0.005_vs_beta_0.01"": 0.12094819428365114, ""beta_0.005_vs_beta_0.02"": 0.30077731637159033, ""beta_0.01_vs_beta_0.02"": 0.1984501995455461}",0.20672523673359586,0.455174835411521,"{""beta_0.005"": 0.43993813020752504, ""beta_0.01"": 0.45952008348840934, ""beta_0.02"": 0.46606629253862863}",2024,tsp_grad_mag
2.0302271209084832,2.2078501099978878,4,noise,tsp_grad_mag,0.22177777777777777,0.4502592592592592,"{""beta_0.005_vs_beta_0.01"": 0.16179434438190007, ""beta_0.005_vs_beta_0.02"": 0.3645356846039549, ""beta_0.01_vs_beta_0.02"": 0.22526951933038736}",0.25053318277208075,0.5531397151414594,"{""beta_0.005"": 0.5092639001446198, ""beta_0.01"": 0.554057965391466, ""beta_0.02"": 0.5960972798882926}",2024,tsp_grad_mag
