di_ks,di_mmd,dose,family,gate_input,ks_denominator_synth_cross,ks_numerator_real_synth,mmd_cross_by_beta_pair,mmd_denominator_synth_cross,mmd_numerator_real_synth,mmd_real_by_beta,seed,variant
1.0299304520615995,0.9684585069699265,0,noise,tsp_grad_mag,0.2982222222222222,0.3071481481481481,"{""beta_0.005_vs_beta_0.01"": 0.2694567538479534, ""beta_0.005_vs_beta_0.02"": 0.5588720849700414, ""beta_0.01_vs_beta_0.02"": 0.34534024186471735}",0.3912230268942374,0.37888326851824855,"{""beta_0.005"": 0.4252670080784496, ""beta_0.01"": 0.3452475718493835, ""beta_0.02"": 0.3661352256269126}",42,tsp_grad_mag
1.0398765432098767,0.9986136847532187,1,noise,tsp_grad_mag,0.3,0.311962962962963,"{""beta_0.005_vs_beta_0.01"": 0.2681930658409819, ""beta_0.005_vs_beta_0.02"": 0.5546608442495267, ""beta_0.01_vs_beta_0.02"": 0.3437945983445225}",0.38888283614501035,0.38834372194005096,"{""beta_0.005"": 0.42859032767400246, ""beta_0.01"": 0.3552459607470411, ""beta_0.02"": 0.38119487739910923}",42,tsp_grad_mag
1.0993998499624906,1.0623818723144902,2,noise,tsp_grad_mag,0.2962222222222222,0.32566666666666666,"{""beta_0.005_vs_beta_0.01"": 0.2663325432067541, ""beta_0.005_vs_beta_0.02"": 0.5469441367019289, ""beta_0.01_vs_beta_0.02"": 0.335890539910031}",0.3830557399395713,0.4069514741978142,"{""beta_0.005"": 0.4409905092169884, ""beta_0.01"": 0.37231781344449866, ""beta_0.02"": 0.4075460999319556}",42,tsp_grad_mag
1.1407657657657657,1.1243066471066794,3,noise,tsp_grad_mag,0.296,0.3376666666666666,"{""beta_0.005_vs_beta_0.01"": 0.25211214747518446, ""beta_0.005_vs_beta_0.02"": 0.5348523395390842, ""beta_0.01_vs_beta_0.02"": 0.3361998051310105}",0.3743880973817597,0.42092702648393526,"{""beta_0.005"": 0.4388158392408254, ""beta_0.01"": 0.38704000684825346, ""beta_0.02"": 0.43692523336272693}",42,tsp_grad_mag
1.2145564821834722,1.1966087975113207,4,noise,tsp_grad_mag,0.29311111111111116,0.35600000000000004,"{""beta_0.005_vs_beta_0.01"": 0.24419723598370421, ""beta_0.005_vs_beta_0.02"": 0.5260211430966909, ""beta_0.01_vs_beta_0.02"": 0.33282020705329607}",0.3676795287112304,0.4399685587206745,"{""beta_0.005"": 0.4399037137152059, ""beta_0.01"": 0.40868687030219264, ""beta_0.02"": 0.47131509214462475}",42,tsp_grad_mag
0.7699074074074074,0.7683299219193057,0,noise,tsp_grad_mag,0.32,0.24637037037037035,"{""beta_0.005_vs_beta_0.01"": 0.2645944198716354, ""beta_0.005_vs_beta_0.02"": 0.5479105708719645, ""beta_0.01_vs_beta_0.02"": 0.33763159141422905}",0.3833788607192763,0.29456145012195395,"{""beta_0.005"": 0.3205328133885087, ""beta_0.01"": 0.2327642786221598, ""beta_0.02"": 0.33038725835519345}",123,tsp_grad_mag
0.761039886039886,0.7609205787059151,1,noise,tsp_grad_mag,0.312,0.23744444444444443,"{""beta_0.005_vs_beta_0.01"": 0.26223942564814756, ""beta_0.005_vs_beta_0.02"": 0.5405820636177597, ""beta_0.01_vs_beta_0.02"": 0.3314776386393135}",0.37809970930174025,0.28770384961041845,"{""beta_0.005"": 0.3217233236970048, ""beta_0.01"": 0.22857154752961725, ""beta_0.02"": 0.3128166776046334}",123,tsp_grad_mag
0.7595870206489677,0.7573801561872368,2,noise,tsp_grad_mag,0.3013333333333333,0.2288888888888889,"{""beta_0.005_vs_beta_0.01"": 0.2539061888209657, ""beta_0.005_vs_beta_0.02"": 0.5295446759307715, ""beta_0.01_vs_beta_0.02"": 0.3274205251536969}",0.37029046330181137,0.28045064893017013,"{""beta_0.005"": 0.32099039236675847, ""beta_0.01"": 0.22561152348189925, ""beta_0.02"": 0.2947500309418527}",123,tsp_grad_mag
0.8084539223153085,0.7883147938950653,3,noise,tsp_grad_mag,0.29177777777777775,0.2358888888888889,"{""beta_0.005_vs_beta_0.01"": 0.2557138655478727, ""beta_0.005_vs_beta_0.02"": 0.5320589022959223, ""beta_0.01_vs_beta_0.02"": 0.3283167288189089}",0.3720298322209013,0.29327662051003556,"{""beta_0.005"": 0.3454795510714196, ""beta_0.01"": 0.24486613793149706, ""beta_0.02"": 0.28948417252719005}",123,tsp_grad_mag
0.8402881271733732,0.8278160095707665,4,noise,tsp_grad_mag,0.2982222222222222,0.25059259259259264,"{""beta_0.005_vs_beta_0.01"": 0.260557848554351, ""beta_0.005_vs_beta_0.02"": 0.5504437089602989, ""beta_0.01_vs_beta_0.02"": 0.3459266879112799}",0.38564274847530994,0.3192412411627339,"{""beta_0.005"": 0.3656517409194296, ""beta_0.01"": 0.2766470140566551, ""beta_0.02"": 0.31542496851211693}",123,tsp_grad_mag
