variant,signal,family,di_mmd,di_ks,gate_mmd_ratio_mean,gate_mmd_ratio_std,gate_mmd_real_synth_mean,gate_mmd_synth_synth_mean,gate_ks_ratio_mean,gate_ks_ratio_std,gate_ks_real_synth_mean,gate_ks_synth_synth_mean,domain_auc_mean,domain_auc_std,domain_acc_mean,domain_acc_std,synth_pair_auc_mean,domain_auc_excess_ratio_mean,beta_0.005,beta_0.01,beta_0.02,rtts,foggy_driving,real_avg_mean
rgb,RGB condition,appearance_anchor,2.38,,2.501378398038797,0.7731587664244705,0.4613077893218933,0.19709415483592857,2.2171951770726626,0.5380004507421813,0.3801333333333333,0.17759999999999998,0.7721866666666666,0.045602541839487636,0.7426666666666668,0.04586937976471884,0.6590962962962963,1.906974390306933,0.4541±0.0038 (5),0.4502±0.0040 (5),0.4365±0.0082 (5),0.3363±0.0114 (5),0.1860±0.0067 (5),0.26118348267344366
rgb_gray,RGB grayscale control,rgb_control,,,1.2773273585721754,0.1939357272993569,0.37933357540443924,0.3011799248160993,1.1469835023624122,0.22469911558152905,0.2820888888888889,0.24897777777777783,0.6589066666666666,0.0748171636741658,0.6213333333333333,0.05886330681238432,0.7228444444444444,0.7670378713716863,0.4546±0.0119 (5),0.4484±0.0119 (5),0.4345±0.0127 (5),0.3314±0.0112 (5),0.1946±0.0205 (5),0.2629983116319166
rgb_sobel_mag,RGB Sobel edge control,rgb_control,,,2.973361213224196,1.4147826867122315,0.36443099432245607,0.14346883843128896,2.8321021013287297,1.501453931538747,0.3030222222222222,0.1292888888888889,0.7040622222222223,0.04858095831816321,0.656,0.042237424163885776,0.6108711111111111,23.43061993421059,0.4558±0.0029 (5),0.4512±0.0024 (5),0.4380±0.0045 (5),0.3275±0.0130 (5),0.1964±0.0143 (5),0.261955940754263
rgb_equalized_gray,equalized RGB grayscale control,rgb_control,,,1.2606988853823933,0.13082744337898838,0.3443748113904889,0.280717752278851,1.2290749402680126,0.15774612459995352,0.28395555555555557,0.23840000000000003,0.7404177777777777,0.04207739934694717,0.696,0.04767482447674966,0.7144177777777777,1.1431396803509093,0.4540±0.0051 (5),0.4528±0.0042 (5),0.4402±0.0046 (5),0.3268±0.0080 (5),0.2028±0.0153 (5),0.26476815346234917
raw_dark_channel,raw dark channel,physical_condition,1.86,1.18,1.5308079555631902,0.5202532829132622,0.3552864332081098,0.2641874069331369,1.3480602544044973,0.40390497318702656,0.2901333333333333,0.23835555555555557,0.6888533333333333,0.051618263778972225,0.6359999999999999,0.04160128203152721,0.7127940740740741,1.5659095161786136,0.4496±0.0118 (5),0.4455±0.0100 (5),0.4307±0.0114 (5),0.3343±0.0108 (5),0.2067±0.0136 (5),0.2705091382814452
raw_transmission,raw transmission,physical_condition,1.87,1.22,1.295948397893166,0.5438187031750733,0.5031211799917182,0.4206247477607242,1.4185582651008157,0.6458029167218585,0.44733333333333325,0.3452,0.7998133333333334,0.03600945170848454,0.7406666666666666,0.04353287391283868,0.7673985185185185,1.1440951129437935,0.4484±0.0132 (5),0.4442±0.0133 (5),0.4317±0.0147 (5),0.3326±0.0119 (5),0.1979±0.0090 (5),0.2652642662939349
tsp_grad_mag,TSP transmission gradient,physical_condition,1.07,0.89,1.762876035712069,0.521012246316913,0.33480386780214716,0.20224208863619145,1.7325592485493366,0.4272168336811997,0.2746222222222222,0.1654222222222222,0.7533777777777777,0.06592722961673933,0.6913333333333334,0.05348312298701752,0.6425362962962963,2.1885826471075474,0.4595±0.0051 (5),0.4526±0.0058 (5),0.4384±0.0077 (5),0.3391±0.0111 (5),0.1934±0.0104 (5),0.26623724390171366
tsp_rank,TSP rank boundary,boundary_condition,1.16,1.42,4.622379450098135,2.444163429595881,0.5171336081250795,0.13506884450009923,3.607890623534613,1.4855213933100004,0.40937777777777773,0.1254222222222222,0.8051733333333335,0.019622000250411786,0.7553333333333333,0.021561282171728313,0.5842222222222222,12.554723288014879,0.4518±0.0137 (5),0.4451±0.0146 (5),0.4282±0.0171 (5),0.3348±0.0066 (5),0.1999±0.0133 (5),0.26735352524432154
