domain_auc_excess_ratio,ks_ratio,ks_ratio_ci_high,ks_ratio_ci_low,ks_real_synth,ks_real_synth_perm_p,ks_synth_synth,mmd_ratio,mmd_ratio_ci_high,mmd_ratio_ci_low,mmd_real_synth,mmd_real_synth_perm_p,mmd_synth_synth,n_real,n_synth_total,real_synth_domain_acc,real_synth_domain_acc_ci_high,real_synth_domain_acc_ci_low,real_synth_domain_auc,real_synth_domain_auc_ci_high,real_synth_domain_auc_ci_low,real_synth_domain_auc_perm_p,seed,synth_pair_domain_acc_mean,synth_pair_domain_auc_mean,variant
1.1663965424095089,1.9011904761904759,2.042222795676791,1.5659686071361474,0.35488888888888886,0.03225806451612903,0.18666666666666668,1.9551104612121228,2.2089882512666197,1.667121529230307,0.44002494743897774,0.03225806451612903,0.22506398291489502,500,1500,0.6733333333333333,0.7235,0.6199166666666667,0.6919111111111111,0.7442011111111111,0.6250588888888888,0.03225806451612903,42,0.63,0.6645333333333333,rgb
3.2619465917076607,3.2283185840707973,3.4751581640876847,2.635422702063497,0.4053333333333334,0.03225806451612903,0.12555555555555553,3.975418359519978,4.94016615928005,3.2862604216456477,0.4793463511534683,0.03225806451612903,0.12057758650874374,500,1500,0.7333333333333333,0.7800833333333334,0.68,0.7750666666666667,0.8322366666666664,0.7139866666666667,0.03225806451612903,123,0.5533333333333333,0.5843259259259259,rgb
1.786225065863756,1.6574279379157428,1.9075271987777334,1.4273684304804208,0.33222222222222225,0.03225806451612903,0.20044444444444445,1.806264504845459,2.1120071467831187,1.5923203756241855,0.42065580712926987,0.03225806451612903,0.23288715799974183,500,1500,0.7766666666666666,0.8235833333333332,0.7333333333333333,0.7812444444444444,0.8346155555555556,0.7281233333333332,0.03225806451612903,456,0.63,0.6574518518518518,rgb
1.97304667016256,2.1142098273572376,2.4865416642354212,1.7053506787330324,0.3537777777777778,0.03225806451612903,0.16733333333333336,2.4459660626408164,2.9883454204360334,2.0469604686684333,0.41607270495657717,0.03225806451612903,0.1701056737096995,500,1500,0.7233333333333334,0.7601666666666667,0.6596666666666667,0.7787111111111111,0.8267244444444444,0.7094744444444445,0.03225806451612903,789,0.6033333333333334,0.6412592592592592,rgb
1.3472570813911797,2.18482905982906,2.3730892244868804,1.8973725739589224,0.4544444444444445,0.03225806451612903,0.208,2.324132601975609,2.5014706871480987,2.119593135570395,0.5504391359311737,0.03225806451612903,0.23683637304656266,500,1500,0.8066666666666666,0.8402499999999998,0.7699166666666667,0.834,0.8666944444444444,0.7774588888888888,0.03225806451612903,2024,0.6988888888888889,0.7479111111111111,rgb
0.7908567038033045,1.061739943872778,1.1512851631456065,0.9461993415541406,0.2522222222222222,0.03225806451612903,0.2375555555555556,1.350473348036701,1.5165125650283433,1.2223916811844884,0.37808232427712013,0.03225806451612903,0.27996281809394524,500,1500,0.61,0.6668333333333333,0.5566666666666666,0.6524888888888889,0.7055944444444444,0.5913522222222223,0.03225806451612903,42,0.65,0.6928148148148147,rgb_gray
1.6725317693059631,1.5774099318403112,1.74269472737853,1.3844176420743919,0.35999999999999993,0.03225806451612903,0.22822222222222224,1.592797424034158,1.8311026005557443,1.440965920954992,0.4266364508551453,0.03225806451612903,0.2678535540160416,500,1500,0.7366666666666667,0.7866666666666666,0.6930833333333334,0.8041777777777778,0.8444822222222222,0.7621188888888889,0.03225806451612903,123,0.6522222222222221,0.6818666666666666,rgb_gray
0.48532910388580514,1.1477495107632092,1.2317471311945953,0.9855187904871774,0.26066666666666666,0.03225806451612903,0.22711111111111112,1.2957550778972058,1.4447522324806858,1.1251450056903518,0.368907425871655,0.03225806451612903,0.2847045959258984,500,1500,0.59,0.6434166666666666,0.5331666666666667,0.6088,0.6761866666666666,0.5488533333333333,0.03225806451612903,456,0.6644444444444444,0.7241777777777777,rgb_gray
0.40209852391961576,0.9679186228482003,1.075911042533208,0.8746080527480412,0.2748888888888889,0.03225806451612903,0.28400000000000003,1.0728738813193852,1.200816316132179,1.0067256252303902,0.3819603391633091,0.03225806451612903,0.3560160665795935,500,1500,0.5733333333333334,0.6202499999999999,0.51325,0.6004888888888888,0.6684555555555555,0.5468366666666666,0.03225806451612903,789,0.7066666666666667,0.7499111111111111,rgb_gray
0.4843732559437438,0.9800995024875621,1.0599010590858418,0.9016743994017047,0.26266666666666666,0.03225806451612903,0.268,1.0747370615734266,1.1702186540810318,0.9882115610700726,0.3410813368549666,0.03225806451612903,0.3173625894650175,500,1500,0.5966666666666667,0.6535,0.54325,0.6285777777777778,0.6960477777777778,0.5651277777777778,0.03225806451612903,2024,0.7044444444444444,0.7654518518518518,rgb_gray
0.8707970844110042,1.6023688663282571,1.8725524875517048,1.292161228313502,0.21044444444444443,0.03225806451612903,0.13133333333333333,1.8893612343293136,2.347772955266278,1.4967478770938545,0.2668983938770166,0.03225806451612903,0.1412638245283784,500,1500,0.58,0.6435,0.5363333333333333,0.6097333333333333,0.68619,0.5352355555555556,0.03225806451612903,42,0.5955555555555555,0.6260148148148148,rgb_sobel_mag
2.4388111888111883,3.1647727272727275,3.3996260036652224,2.2846055300523114,0.37133333333333335,0.03225806451612903,0.11733333333333333,3.25914594682657,4.004804675259537,2.5436024859826145,0.436207737881033,0.03225806451612903,0.1338411181940988,500,1500,0.6933333333333334,0.74675,0.6499166666666667,0.7273333333333334,0.7933188888888888,0.6704733333333334,0.03225806451612903,123,0.5655555555555556,0.5932148148148149,rgb_sobel_mag
1.2728348966396505,1.5561993047508689,1.7895101629399472,1.3611868504788625,0.29844444444444446,0.03225806451612903,0.1917777777777778,1.7742150102771577,2.0621857351437805,1.5295996390525206,0.3651585431473214,0.03225806451612903,0.20581414373801202,500,1500,0.6433333333333333,0.68675,0.5833333333333334,0.7070666666666666,0.75566,0.6515266666666667,0.03225806451612903,456,0.6155555555555555,0.6626814814814814,rgb_sobel_mag
111.14788732394288,5.600858369098711,5.225984299516906,3.236079063016339,0.29,0.03225806451612903,0.051777777777777784,5.6027846195903175,6.899869043632597,3.709882283139268,0.3441710314601558,0.03225806451612903,0.06142856719081271,500,1500,0.67,0.7103333333333332,0.6199166666666667,0.7338222222222223,0.7867388888888888,0.6791522222222223,0.03225806451612903,789,0.4977777777777777,0.5021037037037037,rgb_sobel_mag
1.4227691772482165,2.2363112391930833,2.4311473311546847,1.8515203550932566,0.34488888888888886,0.03225806451612903,0.15422222222222223,2.341299255097622,2.738295661148285,1.9824278136341642,0.40971926524675356,0.03225806451612903,0.174996538505143,500,1500,0.6933333333333334,0.7268333333333333,0.6465833333333333,0.7423555555555555,0.7894155555555554,0.6874766666666666,0.03225806451612903,2024,0.6088888888888889,0.6703407407407408,rgb_sobel_mag
0.962305183037332,1.2061403508771928,1.3381943201479625,1.0824067084311193,0.24444444444444446,0.03225806451612903,0.2026666666666667,1.2783142394514049,1.4689165312561359,1.1516459440321543,0.29922071045275495,0.03225806451612903,0.2340744562003526,500,1500,0.6466666666666666,0.6934166666666667,0.5933333333333334,0.6966666666666667,0.7533533333333333,0.6358444444444444,0.03225806451612903,42,0.6444444444444445,0.7043703703703704,rgb_equalized_gray
1.034612490594432,0.9428911362284355,1.020944309586036,0.8779494213587576,0.35222222222222227,0.03225806451612903,0.3735555555555556,1.0191417122425126,1.1162279696094086,0.9556766863822067,0.43994079324655394,0.03225806451612903,0.431677742125294,500,1500,0.7866666666666666,0.84675,0.7465,0.8055555555555556,0.8730244444444445,0.75659,0.03225806451612903,123,0.7377777777777778,0.7953333333333333,rgb_equalized_gray
1.2229723480995103,1.3170426065162906,1.4832649415451635,1.1398834268225526,0.23355555555555554,0.03225806451612903,0.17733333333333334,1.4030504226441067,1.6341042058570887,1.161453736026417,0.2761951308350879,0.03225806451612903,0.19685331786906612,500,1500,0.6733333333333333,0.72675,0.61975,0.6959111111111111,0.7514355555555554,0.6164422222222222,0.03225806451612903,456,0.6222222222222221,0.6601925925925926,rgb_equalized_gray
1.392913111614139,1.2696506550218336,1.4150421256254893,1.1047907906527883,0.2584444444444444,0.03225806451612903,0.2035555555555556,1.2607111628055816,1.4059736791683404,1.087545575067659,0.3034379505758118,0.03225806451612903,0.2406879224425539,500,1500,0.6833333333333333,0.7368333333333333,0.6298333333333334,0.7370222222222222,0.7896344444444442,0.6857266666666667,0.03225806451612903,789,0.6166666666666666,0.670162962962963,rgb_equalized_gray
1.1028952684091333,1.4096499526963102,1.5326354891530611,1.2026573501919011,0.33111111111111113,0.03225806451612903,0.23488888888888892,1.3422768897683612,1.4893468480649783,1.160496482928165,0.4030794718422362,0.03225806451612903,0.3002953227569881,500,1500,0.69,0.7366666666666667,0.6463333333333333,0.7669333333333334,0.8066777777777777,0.7182266666666667,0.03225806451612903,2024,0.6877777777777778,0.7420296296296295,rgb_equalized_gray
0.8169862052840775,1.5311004784688995,1.6755238555770475,1.3497265005049772,0.35555555555555557,0.03225806451612903,0.23222222222222222,1.5642261921518275,1.7010482121919859,1.3550795200550105,0.42629990695592107,0.03225806451612903,0.2725308584492385,500,1500,0.6533333333333333,0.7004166666666665,0.5896666666666667,0.7070666666666666,0.7588366666666666,0.6329855555555556,0.03225806451612903,42,0.6977777777777777,0.7534518518518518,raw_dark_channel
