gate_input,ks_ratio_real_synth_over_synth_synth,ks_real_synth_by_beta,ks_real_synth_mean,ks_synth_synth_by_beta_pair,ks_synth_synth_mean,l2_ratio_real_synth_over_synth_synth,l2_real_synth_mean,l2_real_synth_std,l2_synth_synth_mean,l2_synth_synth_std,mmd_ratio_real_synth_over_synth_synth,mmd_real_synth_by_beta,mmd_real_synth_mean,mmd_synth_synth_by_beta_pair,mmd_synth_synth_mean,n_real_synth_pairs,n_synth_synth_pairs,seed,variant
rgb_sobel_mag,1.6023688663282571,"{""beta_0.005"": 0.254, ""beta_0.01"": 0.2153333333333333, ""beta_0.02"": 0.16200000000000003}",0.21044444444444443,"{""beta_0.005_vs_beta_0.01"": 0.08800000000000004, ""beta_0.005_vs_beta_0.02"": 0.18266666666666662, ""beta_0.01_vs_beta_0.02"": 0.12333333333333335}",0.13133333333333333,1.3236277353320993,0.07397228479385376,0.04076933115720749,0.05588601902127266,0.03387952223420143,1.8893612343293136,"{""beta_0.005"": 0.3031813592163066, ""beta_0.01"": 0.26766588450238654, ""beta_0.02"": 0.22984793791235653}",0.2668983938770166,"{""beta_0.005_vs_beta_0.01"": 0.07926858149503206, ""beta_0.005_vs_beta_0.02"": 0.21016638051813477, ""beta_0.01_vs_beta_0.02"": 0.13435651157196846}",0.1412638245283784,423,423,42,rgb_sobel_mag
rgb_sobel_mag,3.1647727272727275,"{""beta_0.005"": 0.41466666666666674, ""beta_0.01"": 0.38533333333333336, ""beta_0.02"": 0.314}",0.37133333333333335,"{""beta_0.005_vs_beta_0.01"": 0.06266666666666666, ""beta_0.005_vs_beta_0.02"": 0.16133333333333333, ""beta_0.01_vs_beta_0.02"": 0.128}",0.11733333333333333,1.4699458952642412,0.0880957692861557,0.049897655844688416,0.059931300580501556,0.03425301983952522,3.25914594682657,"{""beta_0.005"": 0.48501322815587505, ""beta_0.01"": 0.45287887456234494, ""beta_0.02"": 0.37073111092487915}",0.436207737881033,"{""beta_0.005_vs_beta_0.01"": 0.05866920118620744, ""beta_0.005_vs_beta_0.02"": 0.19981643188846887, ""beta_0.01_vs_beta_0.02"": 0.14303772150762004}",0.1338411181940988,423,423,123,rgb_sobel_mag
rgb_sobel_mag,1.5561993047508689,"{""beta_0.005"": 0.34600000000000003, ""beta_0.01"": 0.30866666666666664, ""beta_0.02"": 0.2406666666666667}",0.29844444444444446,"{""beta_0.005_vs_beta_0.01"": 0.11199999999999999, ""beta_0.005_vs_beta_0.02"": 0.2733333333333334, ""beta_0.01_vs_beta_0.02"": 0.18999999999999997}",0.1917777777777778,1.2508802021645715,0.07479261606931686,0.05000755563378334,0.059791989624500275,0.03771403804421425,1.7742150102771577,"{""beta_0.005"": 0.43112035823763994, ""beta_0.01"": 0.37941052858480756, ""beta_0.02"": 0.28494474261951663}",0.3651585431473214,"{""beta_0.005_vs_beta_0.01"": 0.10658721548155277, ""beta_0.005_vs_beta_0.02"": 0.3039229890226823, ""beta_0.01_vs_beta_0.02"": 0.206932226709801}",0.20581414373801202,423,423,456,rgb_sobel_mag
rgb_sobel_mag,5.600858369098711,"{""beta_0.005"": 0.2933333333333333, ""beta_0.01"": 0.2913333333333333, ""beta_0.02"": 0.2853333333333334}",0.29,"{""beta_0.005_vs_beta_0.01"": 0.03799999999999998, ""beta_0.005_vs_beta_0.02"": 0.0646666666666667, ""beta_0.01_vs_beta_0.02"": 0.052666666666666674}",0.051777777777777784,1.371977466993186,0.07831941545009613,0.044115789234638214,0.0570850595831871,0.03377688676118851,5.6027846195903175,"{""beta_0.005"": 0.332814294212085, ""beta_0.01"": 0.3445342698524361, ""beta_0.02"": 0.3551645303159463}",0.3441710314601558,"{""beta_0.005_vs_beta_0.01"": 0.03685364391229615, ""beta_0.005_vs_beta_0.02"": 0.09126814957174727, ""beta_0.01_vs_beta_0.02"": 0.05616390808839471}",0.06142856719081271,423,423,789,rgb_sobel_mag
rgb_sobel_mag,2.2363112391930833,"{""beta_0.005"": 0.38599999999999995, ""beta_0.01"": 0.36599999999999994, ""beta_0.02"": 0.2826666666666667}",0.34488888888888886,"{""beta_0.005_vs_beta_0.01"": 0.0873333333333333, ""beta_0.005_vs_beta_0.02"": 0.20933333333333334, ""beta_0.01_vs_beta_0.02"": 0.166}",0.15422222222222223,1.3104650069452601,0.08504455536603928,0.049398671835660934,0.06489647179841995,0.04338469356298447,2.341299255097622,"{""beta_0.005"": 0.46801969685815137, ""beta_0.01"": 0.43066971841286195, ""beta_0.02"": 0.33046838046924726}",0.40971926524675356,"{""beta_0.005_vs_beta_0.01"": 0.08645570860054164, ""beta_0.005_vs_beta_0.02"": 0.2584695996308436, ""beta_0.01_vs_beta_0.02"": 0.18006430728404377}",0.174996538505143,423,423,2024,rgb_sobel_mag
rgb_equalized_gray,1.2061403508771928,"{""beta_0.005"": 0.33066666666666666, ""beta_0.01"": 0.23933333333333337, ""beta_0.02"": 0.16333333333333333}",0.24444444444444446,"{""beta_0.005_vs_beta_0.01"": 0.1226666666666667, ""beta_0.005_vs_beta_0.02"": 0.2906666666666667, ""beta_0.01_vs_beta_0.02"": 0.19466666666666665}",0.2026666666666667,1.0553431245634004,0.0450686477124691,0.03192467242479324,0.04270520806312561,0.027342990040779114,1.2783142394514049,"{""beta_0.005"": 0.40391259955584236, ""beta_0.01"": 0.31044401254816945, ""beta_0.02"": 0.18330551925425306}",0.29922071045275495,"{""beta_0.005_vs_beta_0.01"": 0.129889206808689, ""beta_0.005_vs_beta_0.02"": 0.34534790517717934, ""beta_0.01_vs_beta_0.02"": 0.22698625661518948}",0.2340744562003526,423,423,42,rgb_equalized_gray
rgb_equalized_gray,0.9428911362284355,"{""beta_0.005"": 0.5033333333333333, ""beta_0.01"": 0.36866666666666675, ""beta_0.02"": 0.18466666666666667}",0.35222222222222227,"{""beta_0.005_vs_beta_0.01"": 0.238, ""beta_0.005_vs_beta_0.02"": 0.5373333333333333, ""beta_0.01_vs_beta_0.02"": 0.3453333333333333}",0.3735555555555556,1.1532457022672975,0.05332166701555252,0.03340617194771767,0.04623617231845856,0.02647990547120571,1.0191417122425126,"{""beta_0.005"": 0.6212403938739574, ""beta_0.01"": 0.4671556507210931, ""beta_0.02"": 0.23142633514461133}",0.43994079324655394,"{""beta_0.005_vs_beta_0.01"": 0.2656651794807871, ""beta_0.005_vs_beta_0.02"": 0.6179618133328206, ""beta_0.01_vs_beta_0.02"": 0.41140623356227407}",0.431677742125294,423,423,123,rgb_equalized_gray
rgb_equalized_gray,1.3170426065162906,"{""beta_0.005"": 0.12599999999999997, ""beta_0.01"": 0.244, ""beta_0.02"": 0.33066666666666666}",0.23355555555555554,"{""beta_0.005_vs_beta_0.01"": 0.1586666666666667, ""beta_0.005_vs_beta_0.02"": 0.25533333333333336, ""beta_0.01_vs_beta_0.02"": 0.118}",0.17733333333333334,1.064585101363909,0.0637931376695633,0.03576706722378731,0.05992300435900688,0.03366586193442345,1.4030504226441067,"{""beta_0.005"": 0.13679291024469117, ""beta_0.01"": 0.2929509960838673, ""beta_0.02"": 0.39884148617670523}",0.2761951308350879,"{""beta_0.005_vs_beta_0.01"": 0.17751932396646303, ""beta_0.005_vs_beta_0.02"": 0.2919876697636686, ""beta_0.01_vs_beta_0.02"": 0.1210529598770668}",0.19685331786906612,423,423,456,rgb_equalized_gray
rgb_equalized_gray,1.2696506550218336,"{""beta_0.005"": 0.3526666666666667, ""beta_0.01"": 0.27666666666666667, ""beta_0.02"": 0.146}",0.2584444444444444,"{""beta_0.005_vs_beta_0.01"": 0.12333333333333334, ""beta_0.005_vs_beta_0.02"": 0.2853333333333334, ""beta_0.01_vs_beta_0.02"": 0.20200000000000004}",0.2035555555555556,0.9679571626072578,0.04959841072559357,0.0357048399746418,0.05124029517173767,0.028541631996631622,1.2607111628055816,"{""beta_0.005"": 0.4295231827334435, ""beta_0.01"": 0.3280128167000851, ""beta_0.02"": 0.15277785229390678}",0.3034379505758118,"{""beta_0.005_vs_beta_0.01"": 0.12937747665050398, ""beta_0.005_vs_beta_0.02"": 0.35489044212589826, ""beta_0.01_vs_beta_0.02"": 0.2377958485512595}",0.2406879224425539,423,423,789,rgb_equalized_gray
rgb_equalized_gray,1.4096499526963102,"{""beta_0.005"": 0.37466666666666665, ""beta_0.01"": 0.3146666666666667, ""beta_0.02"": 0.304}",0.33111111111111113,"{""beta_0.005_vs_beta_0.01"": 0.16466666666666666, ""beta_0.005_vs_beta_0.02"": 0.336, ""beta_0.01_vs_beta_0.02"": 0.20400000000000004}",0.23488888888888892,1.4016163128350863,0.06266826391220093,0.037159767001867294,0.04471142590045929,0.02786194160580635,1.3422768897683612,"{""beta_0.005"": 0.4471201925753625, ""beta_0.01"": 0.39340100678593903, ""beta_0.02"": 0.368717216165407}",0.4030794718422362,"{""beta_0.005_vs_beta_0.01"": 0.19795372304337808, ""beta_0.005_vs_beta_0.02"": 0.4371169738833185, ""beta_0.01_vs_beta_0.02"": 0.26581527134426775}",0.3002953227569881,423,423,2024,rgb_equalized_gray
